"project_accession","n_runs_in_project","n_conflict_rows","conflict_shape","conflict_from","orig_real_dates","orig_sentinel_count","infer_value_projlevel","infer_source_projlevel","infer_method_projlevel"
"PRJDB6962","97","88","genuine_year","rule","2018-08-06(9)
 2018-02-13(9)
 2019-02-05(9)
 2017-07-10(8)
 2022-01-25(8)
 2022-02-07(4)
 2022-01-06(4)
 2022-02-21(4)
 2022-02-28(4)
 2022-03-17(4)
 2022-01-19(3)
 2022-02-04(3)
 2022-03-09(3)
 2022-02-01(3)
 2022-02-17(3)
 2022-01-24(2)
 2022-02-02(2)
 2022-03-08(2)
 2017-08-23(1)
 2022-01-21(1)
 2022-01-27(1)
 2022-02-15(1)
 2022-02-03(1)
 2022-01-07(1)
 2022-03-22(1)
 2022-02-08(1)
 2022-01-05(1)
 2022-02-16(1)
 2022-01-17(1)
 2022-02-24(1)
 2022-01-26(1)","0","2011-XX-XX
2017-XX-XX","literature
literature","rule_date
rule_date"
"PRJNA292471","87","87","genuine_year","rule","2013-09-06(12)
 2013-07-19(9)
 2014-01-20(6)
 2014-01-07(6)
 2014-01-08(6)
 2014-01-21(5)
 2013-01-22(4)
 2014-01-10(4)
 2013-12-08(3)
 2013-12-23(3)
 2013-11-26(3)
 2013-12-03(3)
 2013-08-30(3)
 2013-12-09(3)
 2013-12-04(3)
 2013-12-24(3)
 2013-11-27(3)
 2013-12-27(2)
 2013-12-05(2)
 2013-12-11(2)
 2013-12-02(2)","0","2012-XX-XX","literature","rule_date"
"PRJNA473136","115","81","genuine_year","LLM","2016-11-14(9)
 2016-10-24(9)
 2017-06(9)
 2017-10(8)
 2017-09(8)
 2017-08(7)
 2016-10-10(6)
 2017-10-02(6)
 2017-04(4)
 2017-07(4)
 2017-03(4)
 2017-11(4)
 2017-08-08(3)
 2017-05(3)
 2017-09-11(3)
 2017-12(2)
 2018-01(2)
 2017-09-25(2)
 2017-06-12(2)
 2017-10-30(2)
 2017-08-21(2)
 2018-05-07(2)
 2017-07-17(2)
 2017-02-27(1)
 2018-08-06(1)
 2017-10-03(1)
 2017-01-23(1)
 2017-01-17(1)
 2018-01-16(1)
 2018-03-12(1)
 2018-02-12(1)
 2017-12-18(1)
 2018-04-09(1)
 2018-01-23(1)
 2017-11-13(1)","0","2016-XX-XX
2018-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJEB35961","76","76","genuine_year","rule","2013(76)","0","2000-XX-XX","study_meta","rule_date"
"PRJNA946560","75","75","genuine_year","LLM","2019(14)
 2016(13)
 2020(8)
 2015(7)
 2014(5)
 2010(5)
 2017(4)
 2013(4)
 2012(3)
 2018(3)
 2021(2)
 2011(2)
 2003(2)
 2006(1)
 2009(1)
 2007(1)","0","2002-XX-XX","llm_agent","llm_agent"
"PRJNA436552","258","74","genuine_year","LLM","2018-02-05(13)
 2018-02-17(9)
 2018-02-08(8)
 2018-02-13(6)
 2018-02-09(6)
 2018-02-22(6)
 2018-02-16(5)
 2018-02-03(5)
 2018-02-04(5)
 2018-02-10(5)
 2018-03-19(5)
 2018-01-18(5)
 2018-02-28(5)
 2018-02-20(4)
 2018-01-12(4)
 2018-02-19(4)
 2018-02-25(4)
 2018-02-24(4)
 2018-03-13(4)
 2018-02-07(4)
 2018-02-06(4)
 2018-01-22(3)
 2018-01-17(3)
 2018-02-11(3)
 2018-02-26(3)
 2018-02-15(3)
 2018-02-14(3)
 2018-03-14(3)
 2018-03-01(3)
 2018-01-15(3)
 2017-02-03(2)
 2017-06-14(2)
 2017-04-03(2)
 2017-12-13(2)
 2018-01-13(2)
 2018-01-05(2)
 2018-03-08(2)
 2017-08-28(2)
 2017-04-21(2)
 2018-01-30(2)
 2018-01-20(2)
 2017-03-27(2)
 2018-02-02(2)
 2018-02-27(2)
 2018-03-09(2)
 2018-02-21(2)
 2017-06-03(2)
 2018-01-16(2)
 2018-02-12(2)
 2017-03-13(2)
 2018-01-11(2)
 2018-01-19(2)
 2017-01-13(1)
 2017-03-05(1)
 2017-01-03(1)
 2017-02-28(1)
 2017-02-15(1)
 2017-02-13(1)
 2017-03-28(1)
 2017-03-20(1)
 2017-03-19(1)
 2017-03-14(1)
 2017-06-08(1)
 2017-06-02(1)
 2017-05-11(1)
 2017-05-10(1)
 2017-04-13(1)
 2017-07-31(1)
 2017-07-15(1)
 2017-06-24(1)
 2017-06-15(1)
 2017-09-22(1)
 2017-09-21(1)
 2017-09-19(1)
 2017-08-20(1)
 2017-12-11(1)
 2017-11-29(1)
 2017-11-20(1)
 2017-10-20(1)
 2017-12-29(1)
 2017-12-24(1)
 2018-01-27(1)
 2018-01-21(1)
 2018-02-18(1)
 2018-03-02(1)
 2018-03-11(1)
 2017-06-06(1)
 2017-04-29(1)
 2017-06-26(1)
 2017-06-25(1)
 2017-10-06(1)
 2017-09-16(1)
 2017-09-11(1)
 2017-09-05(1)
 2017-08-21(1)
 2017-08-18(1)
 2017-12-18(1)
 2017-12-16(1)
 2017-11-26(1)
 2017-12-19(1)
 2018-02-01(1)
 2018-01-23(1)
 2018-02-23(1)
 2018-03-21(1)
 2018-03-20(1)
 2018-03-15(1)
 2017-01-04(1)
 2017-03-07(1)
 2017-10-02(1)
 2017-02-06(1)
 2017-02-04(1)
 2017-03-02(1)
 2017-01-26(1)
 2017-03-16(1)
 2017-05-31(1)
 2017-08-10(1)
 2017-06-13(1)
 2017-04-11(1)
 2017-11-19(1)
 2018-01-31(1)
 2018-03-05(1)
 2018-03-18(1)
 2018-03-16(1)
 2018-03-03(1)","0","2018-XX-XX","llm_agent","llm_agent"
"PRJNA588650","87","73","genuine_year","LLM","2015-08-22(5)
 2015-12-21(4)
 2015-12-20(4)
 2015-12-09(4)
 2015-11-05(4)
 2015-05-06(3)
 2016-01-11(3)
 2016-01-03(3)
 2016-01-02(3)
 2015-11-09(3)
 2015-11-03(3)
 2015-09-10(3)
 2015-06-14(3)
 2015-03-06(3)
 2015-06-20(3)
 2015-06-28(3)
 2016-01-12(2)
 2016-01-01(2)
 2015-12-30(2)
 2015-09-07(2)
 2015-10-01(2)
 2015-11-14(2)
 2015-07-27(2)
 2015-06-04(1)
 2016-01-29(1)
 2015-04-06(1)
 2015-03-19(1)
 2015-07-20(1)
 2015-06-05(1)
 2015-04-28(1)
 2015-03-11(1)
 2015-09-09(1)
 2015-12-11(1)
 2015-11-29(1)
 2015-11-12(1)
 2015-10-24(1)
 2019-09-16(1)
 2015-08-23(1)
 2015-08-19(1)
 2015-07-11(1)
 2015-05-22(1)
 2015-02-25(1)","0","2016-XX-XX","llm_agent","llm_agent"
"PRJNA756706","173","72","genuine_year","LLM","2020-04-11(1)
 2019-08-02(1)
 2020-11-27(1)
 2020-07-18(1)
 2020-10-28(1)
 2021-05-21(1)
 2020-12-24(1)
 2021-05-23(1)
 2021-01-24(1)
 2020-05-23(1)
 2021-02-01(1)
 2019-10-14(1)
 2020-11-14(1)
 2020-06-19(1)
 2019-10-11(1)
 2019-07-25(1)
 2021-05-26(1)
 2020-07-23(1)
 2019-06-07(1)
 2020-10-12(1)
 2019-10-03(1)
 2020-06-17(1)
 2021-01-16(1)
 2020-11-24(1)
 2020-09-11(1)
 2020-05-16(1)
 2019-09-06(1)
 2020-08-06(1)
 2020-04-12(1)
 2020-11-23(1)
 2019-08-04(1)
 2020-02-15(1)
 2020-08-03(1)
 2020-11-20(1)
 2019-07-30(1)
 2019-12-14(1)
 2021-05-29(1)
 2019-12-20(1)
 2019-12-28(1)
 2019-10-26(1)
 2020-09-26(1)
 2021-02-24(1)
 2020-01-24(1)
 2021-01-07(1)
 2020-05-18(1)
 2020-08-20(1)
 2020-08-13(1)
 2019-07-14(1)
 2020-07-12(1)
 2020-09-13(1)
 2020-01-18(1)
 2019-10-20(1)
 2019-08-20(1)
 2020-11-26(1)
 2019-09-07(1)
 2020-01-29(1)
 2019-10-19(1)
 2019-08-30(1)
 2020-08-01(1)
 2021-03-20(1)
 2019-06-01(1)
 2019-11-27(1)
 2021-03-13(1)
 2020-04-05(1)
 2021-01-05(1)
 2020-11-21(1)
 2019-11-16(1)
 2021-01-06(1)
 2021-01-17(1)
 2019-11-24(1)
 2019-09-13(1)
 2019-09-14(1)
 2019-10-17(1)
 2019-12-29(1)
 2020-09-18(1)
 2021-01-26(1)
 2019-05-23(1)
 2019-12-15(1)
 2020-03-15(1)
 2021-05-11(1)
 2020-05-15(1)
 2020-01-23(1)
 2020-05-10(1)
 2019-08-28(1)
 2020-10-05(1)
 2019-10-31(1)
 2019-12-13(1)
 2020-03-17(1)
 2019-12-18(1)
 2019-12-02(1)
 2020-05-08(1)
 2019-12-27(1)
 2020-04-24(1)
 2019-11-01(1)
 2019-10-06(1)
 2019-12-04(1)
 2019-08-25(1)
 2019-07-09(1)
 2019-12-17(1)
 2020-09-17(1)
 2020-01-13(1)
 2019-05-25(1)
 2019-05-11(1)
 2020-11-22(1)
 2019-10-29(1)
 2019-12-22(1)
 2019-10-13(1)
 2020-10-15(1)
 2019-12-11(1)
 2020-06-04(1)
 2019-12-25(1)
 2020-01-03(1)
 2019-12-19(1)
 2021-03-08(1)
 2020-04-30(1)
 2019-10-12(1)
 2020-04-01(1)
 2020-01-17(1)
 2021-03-10(1)
 2019-11-03(1)
 2019-10-30(1)
 2020-08-21(1)
 2019-12-05(1)
 2020-07-21(1)
 2021-04-04(1)
 2020-07-26(1)
 2021-01-01(1)
 2020-01-04(1)
 2019-12-16(1)
 2021-02-17(1)
 2020-12-17(1)
 2020-01-01(1)
 2019-06-12(1)
 2020-12-29(1)
 2020-11-02(1)
 2020-01-27(1)
 2020-12-15(1)
 2019-06-05(1)
 2021-06-04(1)
 2019-09-18(1)
 2020-08-05(1)
 2019-12-10(1)
 2020-01-02(1)
 2019-12-12(1)
 2019-10-10(1)
 2021-01-15(1)
 2019-04-21(1)
 2019-11-12(1)
 2019-12-07(1)
 2019-09-29(1)
 2021-01-18(1)
 2019-12-26(1)
 2019-06-15(1)
 2019-09-28(1)
 2021-02-10(1)
 2019-12-06(1)
 2020-01-16(1)
 2019-10-22(1)
 2019-12-31(1)
 2020-04-17(1)
 2020-12-16(1)
 2019-08-23(1)
 2020-12-27(1)
 2021-04-28(1)
 2020-01-25(1)
 2021-02-27(1)
 2020-01-14(1)
 2020-01-05(1)
 2020-05-17(1)
 2020-11-15(1)
 2019-08-24(1)
 2021-05-27(1)
 2019-09-15(1)","0","2019-05-XX
2021-04-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJEB41174","65","65","genuine_year","rule","2014(42)
 2013(23)","0","2018-XX-XX","study_meta","rule_date"
"PRJNA776248","234","63","genuine_year","LLM","2017(97)
 2019(74)
 2018(63)","0","2017-XX-XX
2019-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJDB12894","119","63","genuine_year","LLM","2022(63)
 2021(56)","0","2021-XX-XX","llm_agent","llm_agent"
"PRJEB35770","62","62","genuine_year","rule","2017-05-23(14)
 2017-04-14(4)
 2017-06-27(4)
 2017-07-26(4)
 2017-08-18(4)
 2018-10(4)
 2019-05-15(3)
 2016-04-20(2)
 2016-08-15(2)
 2016-05-11(2)
 2017-06-28(2)
 2017-08-07(2)
 2017-08-28(2)
 2016-11-09(2)
 2017-05-25(2)
 2018-07(2)
 2018-07-11(2)
 2015-11-04(1)
 2015-06-16(1)
 2018-06-11(1)
 2018-10-05(1)
 2018-02-18(1)","0","2014-XX-XX","literature","rule_date"
"PRJNA486429","106","62","genuine_year","LLM","2013(62)
 2012(44)","0","2012-XX-XX","llm_agent","llm_agent"
"PRJEB50613","62","62","genuine_year","rule","2018-02-01(1)
 2018-04-01(1)
 2000-04-01(1)
 2018-06-01(1)
 2018-07-01(1)
 2018-08-01(1)
 2018-09-01(1)
 2018-10-01(1)
 2018-12-01(1)
 1999-06-01(1)
 2001-01-01(1)
 2001-02-01(1)
 2002-08-01(1)
 2016-01-01(1)
 2016-04-01(1)
 2016-05-01(1)
 2016-11-01(1)
 2000-02-01(1)
 2016-12-01(1)
 2017-01-01(1)
 2017-03-01(1)
 2017-08-01(1)
 2017-09-01(1)
 2017-10-01(1)
 2017-11-01(1)
 2018-03-01(1)
 2018-11-01(1)
 2002-02-01(1)
 2002-01-01(1)
 2002-09-01(1)
 2003-02-01(1)
 2003-08-01(1)
 2004-08-01(1)
 2015-05-01(1)
 2015-07-01(1)
 2015-09-01(1)
 2015-10-01(1)
 1999-11-01(1)
 2015-11-01(1)
 2017-02-01(1)
 2017-07-01(1)
 2000-03-01(1)
 2017-12-01(1)
 2018-01-01(1)
 2018-05-01(1)
 2000-10-01(1)
 2001-08-01(1)
 2003-01-01(1)
 2003-09-01(1)
 1999-10-01(1)
 2004-01-01(1)
 2015-03-01(1)
 2015-04-01(1)
 2015-06-01(1)
 2015-08-01(1)
 2016-02-01(1)
 2016-06-01(1)
 2016-09-01(1)
 2016-10-01(1)
 2017-04-01(1)
 2017-05-01(1)
 2017-06-01(1)","0","1995-XX-XX","study_meta","rule_date"
"PRJNA853129","65","58","genuine_year","LLM","2021-11-03(3)
 2021-07-26(3)
 2020-08-23(3)
 2021-07-12(3)
 2020-12-27(3)
 2020-12-23(3)
 2020-12-16(3)
 2020-11-08(3)
 2019-11-25(3)
 2020-07-29(3)
 2020-05-11(3)
 2020-05-09(3)
 2021-10-13(3)
 2021-12-24(3)
 2021-11-20(3)
 2021-01-04(3)
 2020-08-07(3)
 2020-05-17(3)
 2021-12-31(3)
 2021-01-26(3)
 2019-08-31(2)
 2019-11-08(2)
 2020-04-26(1)","0","2019-XX-XX","llm_agent","llm_agent"
"PRJNA1013332","55","55","genuine_year","rule","2018-08(55)","0","2016-XX-XX
2019-XX-XX
2023-XX-XX","literature
literature
literature","rule_date
rule_date
rule_date"
"PRJNA577476","59","53","genuine_year","LLM","2016-06-15(24)
 2015-04-18(10)
 2016-06-14(6)
 2013-09-17(6)
 2015-09-18(4)
 2015-09-08(4)
 2015-11-11(3)
 2015-09-21(2)","0","2013-XX-XX","llm_agent","llm_agent"
"PRJNA1154401","54","52","genuine_year","rule","2021-10-08(2)
 2021-07-23(2)
 2021-01-22(2)
 2020-12-04(2)
 2020-07-17(2)
 2020-11-26(2)
 2020-11-19(1)
 2021-12-24(1)
 2021-12-10(1)
 2021-10-10(1)
 2021-09-10(1)
 2020-09-28(1)
 2021-03-27(1)
 2020-05-21(1)
 2020-05-27(1)
 2021-01-14(1)
 2020-11-25(1)
 2020-11-11(1)
 2020-11-07(1)
 2021-12-29(1)
 2021-11-26(1)
 2021-11-04(1)
 2021-09-05(1)
 2021-09-01(1)
 2021-07-14(1)
 2021-04-07(1)
 2021-03-09(1)
 2021-02-04(1)
 2020-12-02(1)
 2020-11-27(1)
 2021-12-17(1)
 2020-10-30(1)
 2021-11-23(1)
 2021-11-19(1)
 2021-10-19(1)
 2022-09-06(1)
 2021-08-25(1)
 2020-07-16(1)
 2021-07-15(1)
 2021-07-13(1)
 2021-05-13(1)
 2021-04-21(1)
 2021-03-26(1)
 2021-03-15(1)
 2021-03-11(1)
 2021-01-09(1)
 2020-08-31(1)
 2022-03-04(1)","0","2022-XX-XX
2023-XX-XX","literature
literature","rule_date
rule_date"
"PRJEB65300","50","50","genuine_year","LLM","2022(50)","0","2016-XX-XX","llm_agent","llm_agent"
"PRJNA1175865","128","48","genuine_year","LLM","2023-09-14(60)
 2024-05-10(38)
 2023-08-27(20)
 2022-10-20(5)
 2022-10-19(5)","0","2023-09-XX","llm_agent","llm_agent"
"PRJNA509305","226","47","genuine_year","LLM","2014-08-25(11)
 2014-07-09(10)
 2014-09-15(9)
 2014-08-26(9)
 2014-09-09(8)
 2014-07-28(7)
 2014-07-30(7)
 2014-07-10(7)
 2014-08-14(6)
 2015-01-30(6)
 2015-02-25(6)
 2015-02-24(5)
 2014-08-13(5)
 2014-07-04(5)
 2014-11-17(5)
 2014-07-16(5)
 2015-04-22(5)
 2014-07-15(5)
 2014-09-08(4)
 2015-07-03(4)
 2014-10-01(4)
 2014-08-11(4)
 2014-09-03(4)
 2014-06-27(4)
 2014-07-08(4)
 2014-08-28(4)
 2014-07-21(4)
 2014-07-11(4)
 2014-07-29(4)
 2015-02-12(3)
 2014-08-29(3)
 2014-08-12(3)
 2014-09-22(3)
 2015-05-10(3)
 2015-03-13(3)
 2015-03-20(3)
 2015-06-26(3)
 2015-05-01(3)
 2014-07-14(3)
 2014-09-05(3)
 2014-08-21(3)
 2014-07-06(2)
 2014-08-05(2)
 2014-07-31(2)
 2015-02-26(2)
 2014-08-27(2)
 2014-08-01(2)
 2015-04-11(1)
 2014-08-20(1)
 2014-09-13(1)
 2014-06-30(1)
 2014-07-18(1)
 2014-08-06(1)
 2014-07-25(1)
 2014-07-23(1)
 2014-08-15(1)
 2014-07-02(1)","3","2014-XX-XX","llm_agent","llm_agent"
"PRJNA940347","93","47","genuine_year","LLM","2022-02-14(1)
 2022-02-13(1)
 2022-02-12(1)
 2022-02-11(1)
 2022-02-09(1)
 2022-02-04(1)
 2022-02-03(1)
 2022-01-27(1)
 2022-01-26(1)
 2022-01-24(1)
 2022-01-22(1)
 2022-01-20(1)
 2022-01-19(1)
 2022-01-10(1)
 2021-12-27(1)
 2021-12-25(1)
 2021-11-19(1)
 2021-12-23(1)
 2021-12-19(1)
 2021-12-18(1)
 2021-12-14(1)
 2021-12-12(1)
 2021-12-11(1)
 2021-12-06(1)
 2021-12-03(1)
 2021-11-28(1)
 2021-11-25(1)
 2021-11-16(1)
 2022-02-17(1)
 2022-02-07(1)
 2022-02-06(1)
 2022-02-01(1)
 2022-01-30(1)
 2022-01-23(1)
 2022-01-17(1)
 2022-01-16(1)
 2022-01-15(1)
 2022-01-14(1)
 2022-01-11(1)
 2022-01-09(1)
 2022-01-06(1)
 2022-01-04(1)
 2022-01-02(1)
 2022-01-01(1)
 2021-12-30(1)
 2021-12-28(1)
 2021-12-26(1)
 2021-12-24(1)
 2021-12-21(1)
 2021-12-20(1)
 2021-12-17(1)
 2021-12-15(1)
 2021-12-13(1)
 2021-12-10(1)
 2021-12-05(1)
 2021-11-17(1)
 2021-12-02(1)
 2021-11-26(1)
 2021-11-15(1)
 2022-02-16(1)
 2022-02-15(1)
 2021-11-24(1)
 2022-02-10(1)
 2022-02-08(1)
 2022-02-05(1)
 2021-11-23(1)
 2022-02-02(1)
 2022-01-29(1)
 2022-01-28(1)
 2022-01-25(1)
 2021-11-22(1)
 2022-01-21(1)
 2022-01-18(1)
 2021-11-21(1)
 2022-01-13(1)
 2022-01-12(1)
 2022-01-08(1)
 2022-01-07(1)
 2022-01-05(1)
 2021-11-20(1)
 2022-01-03(1)
 2021-12-29(1)
 2021-12-22(1)
 2021-12-16(1)
 2021-11-18(1)
 2021-12-09(1)
 2021-12-08(1)
 2021-12-07(1)
 2021-12-04(1)
 2021-12-01(1)
 2021-11-30(1)
 2021-11-29(1)
 2021-11-27(1)","0","2021-12-XX","llm_agent","llm_agent"
"PRJNA237127","46","46","genuine_year","rule","2005(46)","0","2000-XX-XX
2006-XX-XX","study_meta
study_meta","rule_date
rule_date"
"PRJNA847681","98","46","genuine_year","LLM","2020-09-21(4)
 2020-11-09(4)
 2021-04-07(3)
 2021-01-18(3)
 2021-07-10(3)
 2020-11-18(3)
 2020-07-15(2)
 2020-10-26(2)
 2021-03-10(2)
 2021-07-08(2)
 2021-07-05(2)
 2021-05-12(2)
 2021-05-18(2)
 2020-09-10(2)
 2020-10-15(2)
 2020-12-28(2)
 2020-12-14(2)
 2021-01-07(2)
 2021-02-25(2)
 2021-03-24(2)
 2021-05-10(2)
 2020-11-16(2)
 2020-07-09(2)
 2021-04-12(2)
 2020-08-17(2)
 2020-12-30(2)
 2020-07-08(2)
 2020-09-29(2)
 2021-03-22(2)
 2021-03-09(2)
 2021-06-18(1)
 2021-04-13(1)
 2020-11-25(1)
 2020-12-08(1)
 2021-06-21(1)
 2021-05-05(1)
 2021-06-11(1)
 2021-05-11(1)
 2020-06-28(1)
 2020-08-21(1)
 2021-02-04(1)
 2021-02-26(1)
 2021-03-30(1)
 2020-10-13(1)
 2020-11-20(1)
 2020-07-28(1)
 2021-02-19(1)
 2021-07-11(1)
 2021-07-06(1)
 2020-12-16(1)
 2020-10-05(1)
 2020-11-23(1)
 2021-01-05(1)
 2021-06-02(1)
 2021-06-08(1)
 2021-06-01(1)
 2021-04-26(1)
 2021-03-25(1)
 2020-06-12(1)
 2021-03-29(1)","0","2018-XX-XX
2021-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJNA289734","45","45","genuine_year","rule","2011-10-15(45)","0","2000-XX-XX","literature","rule_date"
"PRJEB22997","44","44","genuine_year","rule","2014-10-26T21:54:00(8)
 2014-10-23(4)
 2014-06-05T16:38:00(3)
 2014-06-09T06:37:00(3)
 2014-06-12T20:21:00(3)
 2014-06-06T16:11:00(3)
 2014-06-04T12:52:00(3)
 2014-06-08T10:24:00(3)
 2014-06-16T06:34:00(3)
 2014-06-10T22:04:00(3)
 2014-06-17T08:31:00(3)
 2014-06-07T06:48:00(3)
 2014-10-18T08:59:00(1)
 2014-10-18T10:34:00(1)","0","2015-XX-XX","study_meta","rule_date"
"PRJEB34883","56","44","genuine_year","LLM","2015-08-18(4)
 2015-09-02(3)
 2015-08-19(3)
 2015-08-23(2)
 2015-08-27(2)
 2015-08-26(2)
 2015-08-30(2)
 2015-09-03(2)
 2015-08-31(2)
 2015-08-20(2)
 2015-08-21(2)
 2015-08-22(2)
 2014-07-09(1)
 2013-09-05(1)
 2013-06-05(1)
 2013-04-16(1)
 2014-09-16(1)
 2014-12-16(1)
 2014-11-20(1)
 2015-08-24(1)
 2015-08-17(1)
 2013-08-01(1)
 2013-05-07(1)
 2013-10-31(1)
 2014-04-08(1)
 2014-05-06(1)
 2014-08-20(1)
 2015-08-29(1)
 2015-08-28(1)
 2013-04-22(1)
 2013-08-15(1)
 2013-10-03(1)
 2013-07-05(1)
 2013-04-03(1)
 2013-01-23(1)
 2014-01-09(1)
 2014-03-12(1)
 2014-06-04(1)
 2015-09-01(1)
 2015-08-25(1)","0","2013-XX-XX","llm_agent","llm_agent"
"PRJNA1256532","40","40","genuine_year","rule","2025-01-21(5)
 2025-01-20(5)
 2025-01-22(4)
 2025-02-08(4)
 2024-12-18(3)
 2025-01-23(3)
 2024-12-23(2)
 2024-12-17(2)
 2025-02-07(2)
 2024-12-22(2)
 2025-01-13(1)
 2024-12-30(1)
 2024-12-27(1)
 2024-12-28(1)
 2024-12-19(1)
 2025-01-08(1)
 2025-01-02(1)
 2025-01-01(1)","0","1917-XX-XX","literature","rule_date"
"PRJNA448579","61","39","genuine_year","LLM","2017-08-15(7)
 2017-08-13(5)
 2015-08-04(4)
 2017-08-14(4)
 2017-07-19(4)
 2017-07-23(4)
 2017-07-31(4)
 2015-08-06(3)
 2015-08-13(3)
 2015-08-12(3)
 2015-08-18(3)
 2017-08-08(3)
 2017-07-20(3)
 2015-08-05(2)
 2015-08-10(2)
 2015-08-11(2)
 2017-08-10(2)
 2017-07-30(2)
 2017-07-16(1)","0","2015-08-XX","llm_agent","llm_agent"
"PRJNA328258","36","36","genuine_year","rule","2012-11-09(2)
 2014-08-01(2)
 2013-06-17(2)
 2012-03-06(2)
 2012-08-24(2)
 2012-10-12(2)
 2013-02-20(1)
 2014-04-22(1)
 2014-02-18(1)
 2012-04-23(1)
 2012-07-17(1)
 2012-02-15(1)
 2012-10-22(1)
 2012-04-11(1)
 2010-09-07(1)
 2013-10-03(1)
 2013-09-24(1)
 2013-05-22(1)
 2013-06-28(1)
 2013-04-15(1)
 2013-03-25(1)
 2012-07-06(1)
 2012-04-17(1)
 2012-08-06(1)
 2012-04-12(1)
 2014-09-12(1)
 2013-05-14(1)
 2012-07-30(1)
 2012-06-27(1)
 2012-10-01(1)","0","2023-XX-XX","literature","rule_date"
"PRJNA1225594","56","36","genuine_year","rule","2019-11-01(4)
 2019-11-30(2)
 2019-11-24(2)
 2019-12-01(2)
 2019-12-02(1)
 2019-11-29T17:56:02Z(1)
 2019-11-05(1)
 2019-11-07(1)
 2019-11-12(1)
 2021-07-01(1)
 2021-11-08(1)
 2019-11-18(1)
 2021-06-11(1)
 2021-09-06(1)
 2019-11-04(1)
 2019-11-19T17:53:03Z(1)
 2019-11(1)
 2019-11-17(1)
 2019-11-16(1)
 2019-11-23(1)
 2019-11-22(1)
 2019-11-21(1)
 2019-11-29(1)
 2019-11-26(1)
 2019-12(1)
 2021-07-28(1)
 2021-06-16(1)
 2019-11-19(1)
 2019-11-28(1)
 2019-11-29T17:53:01Z(1)","20","2006-XX-XX","literature","rule_date"
"PRJNA565566","35","35","genuine_year","LLM","2019-09(35)","0","2018-XX-XX","llm_agent","llm_agent"
"PRJEB27605","39","34","genuine_year","LLM","2014(15)
 2011(6)
 2016(3)
 1991(3)
 1994(2)
 1988(2)
 2000(1)
 1999(1)
 1993(1)
 2001(1)
 1990(1)
 1995(1)
 1996(1)
 2003(1)","0","1988-XX-XX
2016-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJNA526981","76","34","genuine_year","LLM","2014-05-07(3)
 2015-07-16(3)
 2014-04-01(3)
 2015-04-03(3)
 2015-05-29(2)
 2015-07-28(2)
 2014-04-21(2)
 2015-03-23(2)
 2014-09-25(2)
 2015-10-23(2)
 2014-12-23(2)
 2015-04-14(2)
 2015-06-12(2)
 2014-12-31(2)
 2015-07-10(2)
 2015-10-14(2)
 2014-09-22(2)
 2015-01-22(1)
 2015-03-11(1)
 2014-12-29(1)
 2015-08-27(1)
 2015-03-17(1)
 2015-07-27(1)
 2014-10-29(1)
 2015-04-15(1)
 2014-05-06(1)
 2015-09-24(1)
 2014-08-20(1)
 2014-12-26(1)
 2014-12-27(1)
 2014-08-27(1)
 2015-07-07(1)
 2014-12-22(1)
 2015-07-24(1)
 2014-08-15(1)
 2015-09-15(1)
 2015-04-23(1)
 2014-06-10(1)
 2015-10-29(1)
 2015-02-27(1)
 2015-05-21(1)
 2015-10-15(1)
 2014-09-10(1)
 2015-03-20(1)
 2014-12-24(1)
 2014-11-04(1)
 2014-04-10(1)
 2015-10-06(1)
 2014-09-26(1)
 2014-08-21(1)
 2014-11-28(1)
 2015-03-12(1)
 2014-11-07(1)
 2015-04-16(1)
 2015-08-06(1)","0","2013-XX-XX
2015-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
