tax_id	scientific_name	type	is_metagenome
1504975	salt marsh metagenome	ecological metagenomes	1
1300146	algae metagenome	organismal metagenomes	1
1163772	sponge metagenome	organismal metagenomes	1
1260732	coal metagenome	ecological metagenomes	1
1653169	lichen metagenome	organismal metagenomes	1
496922	coral metagenome	organismal metagenomes	1
527640	microbial mat metagenome	ecological metagenomes	1
496921	stromatolite metagenome	ecological metagenomes	1
1671699	sand metagenome	ecological metagenomes	1
162003	Peltigera polydactylon		0
1427740	rat metagenome	organismal metagenomes	1
433727	hot springs metagenome	ecological metagenomes	1
1169740	aquatic metagenome	ecological metagenomes	1
1280	Staphylococcus aureus		0
543	Enterobacteriaceae		0
2651591	drinking water metagenome	ecological metagenomes	1
1579	Lactobacillus acidophilus		0
1256227	indoor metagenome	ecological metagenomes	1
1115523	upper respiratory tract metagenome	organismal metagenomes	1
1632839	human vaginal metagenome	organismal metagenomes	1
327160	Candidatus Accumulibacter phosphatis		0
9822	Sus		0
1081670	Enterospora		0
39947	Oryza sativa Japonica Group		0
1082480	permafrost metagenome	ecological metagenomes	1
870726	food metagenome	ecological metagenomes	1
59291	Coregonus lavaretus		0
456327	Xanthomonas euvesicatoria		0
442694	Xanthomonas perforans		0
1297858	leaf metagenome	organismal metagenomes	1
301105	Enterobacter hormaechei subsp. hormaechei		0
2383	Candidatus Epulonipiscium		0
93171	Candidatus Entotheonella		0
237	Flavobacterium		0
1659686	Candidatus Nephrothrix		0
717931	groundwater metagenome	ecological metagenomes	1
1592332	sludge metagenome	ecological metagenomes	1
553	Pantoea ananatis		0
1768876	oil field metagenome	ecological metagenomes	1
702656	compost metagenome	ecological metagenomes	1
1792145	manure metagenome	ecological metagenomes	1
2502018	Crucivirus		0
1237094	Alkalicoccus luteus		0
1306859	mixed culture metagenome	ecological metagenomes	1
1904441	Paracoccaceae bacterium		0
2044941	Flavobacteriia bacterium		0
1913989	Gammaproteobacteria bacterium		0
1913988	Alphaproteobacteria bacterium		0
1871037	Flavobacteriaceae bacterium		0
680	Vibrio campbellii		0
2026730	Cytophagia bacterium		0
2052174	Methylocystaceae bacterium		0
2914043	Pseudomonas sp. B14(2022)		0
412757	beach sand metagenome	ecological metagenomes	1
655179	air metagenome	ecological metagenomes	1
1799672	peat metagenome	ecological metagenomes	1
1564682	subsurface metagenome	ecological metagenomes	1
2021965	Parablepharisma sp.		0
777	Coxiella burnetii		0
1325974	wetland metagenome	ecological metagenomes	1
29204	Cyclotella cryptica		0
1651087	glacier metagenome	ecological metagenomes	1
1774230	surface metagenome	ecological metagenomes	1
1755691	hospital metagenome	ecological metagenomes	1
12637	Dengue virus		0
290513	Prosthecochloris sp.		0
781	Rickettsia conorii		0
1981201	brine metagenome	ecological metagenomes	1
1968542	shale gas metagenome	ecological metagenomes	1
63436	Leptopilina heterotoma		0
340016	uncultured virus		0
1833763	bird metagenome	organismal metagenomes	1
885331	oil production facility metagenome	ecological metagenomes	1
1254	Pediococcus acidilactici		0
11320	Influenza A virus		0
11250	human respiratory syncytial virus		0
29394	Dolosigranulum pigrum		0
1816089	volcano metagenome	ecological metagenomes	1
1649191	estuary metagenome	ecological metagenomes	1
1176744	pig metagenome	organismal metagenomes	1
1699855	food production metagenome	ecological metagenomes	1
666	Vibrio cholerae		0
1715863	termitarium metagenome	ecological metagenomes	1
1595979	tick metagenome	organismal metagenomes	1
1723648	cave metagenome	ecological metagenomes	1
1593443	wood decay metagenome	ecological metagenomes	1
2705320	Microcoleus anatoxicus PTRS1		0
1711999	invertebrate metagenome	organismal metagenomes	1
1441287	mouse metagenome	organismal metagenomes	1
955	Wolbachia pipientis		0
1897463	decomposition metagenome	ecological metagenomes	1
2705534	Candidatus Nitrohelix vancouverensis		0
1263854	anaerobic digester metagenome	ecological metagenomes	1
1670606	fungus metagenome	organismal metagenomes	1
1213622	bat metagenome	organismal metagenomes	1
2755568	Bacillus sp. UANL1552282b		0
4550	Secale cereale		0
61435	Dehalococcoides mccartyi		0
903395	salt lake metagenome	ecological metagenomes	1
64495	Rhizopus arrhizus		0
58291	Rhizopus microsporus		0
936053	Rhizopus delemar		0
1276652	Klebsiella pneumoniae ATCC BAA-1705		0
1352	Enterococcus faecium		0
1351	Enterococcus faecalis		0
1211417	uncultured crAssphage		0
468196	Polyplax serrata		0
5480	Lodderomyces parapsilosis		0
5755	Acanthamoeba castellanii		0
1311	Streptococcus agalactiae		0
304766	Sedimentibacter sp. B4		0
1313	Streptococcus pneumoniae		0
1773	Mycobacterium tuberculosis		0
10335	Human alphaherpesvirus 3		0
727	Haemophilus influenzae		0
10298	Human alphaherpesvirus 1		0
10376	human gammaherpesvirus 4		0
573	Klebsiella pneumoniae		0
5065	Aspergillus sp.		0
1436733	rat gut metagenome	organismal metagenomes	1
2173186	whole organism metagenome	organismal metagenomes	1
259542	Plakobranchus ocellatus		0
380571	Elysia diomedea		0
882	Nitratidesulfovibrio vulgaris str. Hildenborough		0
718289	biogas fermenter metagenome	ecological metagenomes	1
239935	Akkermansia muciniphila		0
2173	Methanobrevibacter smithii		0
853	Faecalibacterium prausnitzii		0
40518	Ruminococcus bromii		0
28111	Bacteroides eggerthii		0
1512	[Clostridium] symbiosum		0
28117	Alistipes putredinis		0
2710845	Subdoligranulum sp. PS186		0
1624	Ligilactobacillus salivarius		0
658083	Lachnospiraceae bacterium 6_1_63FAA		0
861	Fusobacterium ulcerans		0
39491	Agathobacter rectalis		0
47715	Lacticaseibacillus rhamnosus		0
1627878	soda lake metagenome	ecological metagenomes	1
1330491	Cosavirus A		0
1954208	oil metagenome	ecological metagenomes	1
1897733	food contamination metagenome	ecological metagenomes	1
5061	Aspergillus niger		0
34062	Faucicola osloensis		0
190721	Ralstonia insidiosa		0
42068	Pneumocystis jirovecii		0
4841	Mucor racemosus		0
484	Neisseria flavescens		0
43770	Corynebacterium striatum		0
5207	Cryptococcus neoformans		0
287	Pseudomonas aeruginosa		0
10359	Human betaherpesvirus 5		0
746128	Aspergillus fumigatus		0
1747	Cutibacterium acnes		0
95486	Burkholderia cenocepacia		0
305719	Segatella baroniae		0
5599	Alternaria alternata		0
638849	Pyramidobacter piscolens		0
1335	Streptococcus equinus		0
5062	Aspergillus oryzae		0
1269027	tidal flat metagenome	ecological metagenomes	1
2048281	bog metagenome	ecological metagenomes	1
2489051	human viral metagenome	organismal metagenomes	1
2338240	mine metagenome	ecological metagenomes	1
46720	Porites compressa		0
2316423	Microcystis aeruginosa PMC 728.11		0
67826	Citrobacter sedlakii		0
296	Pseudomonas fragi		0
388272	Pseudomonas aeruginosa PACS2		0
1775950	invertebrate gut metagenome	organismal metagenomes	1
2024966	Dictyobacter sp.		0
2951083	Candidatus Thiovulum stygium		0
410659	mine drainage metagenome	ecological metagenomes	1
2517771	human sputum metagenome	organismal metagenomes	1
506600	chicken gut metagenome	organismal metagenomes	1
160	Treponema pallidum		0
10566	Human papillomavirus		0
2713252	microbial eukaryotic metagenome	organismal metagenomes	1
123683	Oryzias javanicus		0
123685	Oryzias minutillus		0
2203	Methanospirillum hungatei		0
2093367	Desulfarculus sp.		0
2792612	Calditerrivibrio sp.		0
166	Treponema sp.		0
1872519	Anaerolinea sp.		0
1899378	Clathrolucina costata		0
2003426	Loripes orbiculatus		0
881217	Loripes clausus		0
1899497	tailings metagenome	ecological metagenomes	1
47678	Bacteroides caccae		0
457412	Ruminococcus sp. 5_1_39BFAA		0
582	Morganella morganii		0
33038	Mediterraneibacter gnavus		0
2710835	Subdoligranulum sp. DS25		0
908340	Clostridium sp. HGF2		0
818	Bacteroides thetaiotaomicron		0
1308	Streptococcus thermophilus		0
2710852	Veillonella sp. PS148		0
817	Bacteroides fragilis		0
584	Proteus mirabilis		0
2710821	Acidaminococcus sp. PS058		0
820	Bacteroides uniformis		0
28116	Bacteroides ovatus		0
328813	Alistipes onderdonkii		0
310298	Phocaeicola coprocola		0
2710839	Subdoligranulum sp. DS73		0
821	Phocaeicola vulgatus		0
2710838	Subdoligranulum sp. DS67		0
166486	Roseburia intestinalis		0
469590	Bacteroides sp. 2_2_4		0
2710825	Bilophila sp. PS240		0
1304	Streptococcus salivarius		0
2710829	Parabacteroides sp. PS030		0
2710828	Parabacteroides sp. PS029		0
1262537	Lactococcus phage P680		0
33039	Mediterraneibacter torques		0
357276	Phocaeicola dorei		0
2710843	Subdoligranulum sp. PS108		0
2710842	Subdoligranulum sp. PS107		0
546	Citrobacter freundii		0
39777	Veillonella atypica		0
571	Klebsiella oxytoca		0
2710823	Acidaminococcus sp. PS274		0
1284368	mangrove metagenome	ecological metagenomes	1
138072	Candidatus Williamhamiltonella defendens		0
393005	Tamlana		0
7159	Aedes aegypti		0
205975	endosymbiont of Lamellibrachia barhami		0
208964	Pseudomonas aeruginosa PAO1		0
479893	Candidatus Phytoplasma pruni		0
729	Haemophilus parainfluenzae		0
11292	Lyssavirus rabies		0
1978374	Marivivens sp.		0
2026751	Kangiellaceae bacterium		0
1899355	Oceanospirillaceae bacterium		0
1889773	Vibrionaceae bacterium		0
1916082	Alteromonadaceae bacterium		0
2746493	prokaryote coculture		0
1465	Brevibacillus laterosporus		0
2138	Spiroplasma poulsonii		0
4513	Hordeum vulgare		0
49317	x Triticosecale		0
4565	Triticum aestivum		0
63433	Leptopilina boulardi		0
